Respondent	Gender	Age	Education	Language	Residence	Position	Work	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	Q15	Q16
1	F	35	H	Xhosa	30	Community	No	0	0	0	2	2	0	0	0	0	1	1	1	0	0	2	0
2	M	35	H	Xhosa	20	Other	No	1	0	0	2	0	1	0	1	0	1	0	1	0	1	0	0
3	F	25	J	Xhosa	0.5	Student	No	0	2	0	0	0	0	1	0	0	1	0	1	0	0	2	0
4	F	45	O	Xhosa	20	Community	No	1	2	1	0	0	0	1	0	0	1	0	1	0	0	2	0
5	M	25	O	Xhosa	0.5	Community	No	1	0	1	2	1	1	0	1	2	1	0	1	0	1	0	0
6	M	65	O	Xhosa	20	Other	Pensioner	1	0	1	2	1	1	0	1	2	1	0	1	1	1	2	0
7	M	55	O	Xhosa	20	Community	Pensioner	1	1	1	2	1	1	1	1	2	1	0	1	1	1	2	0
8	M	25	J	Xhosa	0.5	Community	No	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	0
9	F	25	J	Xhosa	0.5	Student	No	1	2	1	0	2	0	1	1	0	1	1	0	0	0	2	0
10	M	35	O	Xhosa	20	Community	No	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	0
11	F	45	O	Xhosa	20	Other	No	1	2	1	0	2	1	1	1	0	1	1	0	0	0	2	0
12	F	45	O	Xhosa	0.5	Community	No	1	2	1	0	2	0	1	1	0	0	1	0	1	0	2	0
13	M	35	O	Xhosa	0.5	Other	Employed	1	1	1	1	1	1	1	0	2	1	1	1	1	2	1	0
14	F	55	O	Xhosa	20	Other	Employed	1	2	1	0	2	0	1	1	0	0	1	0	1	0	2	0
15	M	35	O	Xhosa	0.5	Other	Community_leader	1	1	1	1	1	1	1	0	2	1	1	1	1	2	1	0
16	F	35	J	Xhosa	20	Other	No	1	2	1	0	2	0	1	1	1	0	1	0	1	1	0	0
17	M	55	H	Xhosa	20	Other	No	2	1	1	0	1	1	1	0	2	2	1	1	1	2	1	0
18	F	45	O	Xhosa	0.5	Community	No	1	2	1	0	2	0	1	1	1	0	1	0	1	1	0	0
19	M	25	H	seSotho	0.5	Community	No	2	1	1	0	1	1	1	0	1	2	1	1	1	0	1	0
20	M	25	H	Xhosa	0.5	Community	No	2	1	1	0	1	1	1	1	1	2	1	1	1	0	1	1
21	M	25	H	Xhosa	0.5	Community	No	2	1	1	0	1	1	1	1	1	2	1	0	2	0	1	1
22	M	45	O	Xhosa	20	Community	Employed	2	2	1	0	1	2	1	2	1	0	1	0	2	0	1	1
23	F	15	J	Xhosa	3.5	Student	No	1	2	1	0	2	0	2	1	1	0	1	1	1	0	2	0
24	M	25	T	Xhosa	0.5	Other	No	2	2	2	0	1	2	2	2	1	2	2	1	2	2	1	1
25	F	25	H	Xhosa	0.5	Student	No	1	1	1	0	2	0	2	1	1	0	1	1	1	0	0	0
26	F	55	H	Xhosa	30	Community	No	1	1	1	0	1	0	2	1	1	0	1	1	1	0	0	0
27	F	55	J	Xhosa	30	Community	No	1	1	1	0	1	0	2	1	1	0	1	1	1	0	1	0
28	F	25	J	Xhosa	20	Community	No	1	1	1	0	1	0	2	1	1	0	1	1	1	0	1	0
29	F	25	H	Xhosa	20	Community	No	1	1	1	0	1	1	2	1	1	0	1	1	1	0	1	0
30	F	25	H	Xhosa	20	Community	No	1	1	1	0	1	1	2	1	1	1	1	1	1	0	2	0
31	F	25	H	Xhosa	20	Community	No	1	1	2	0	1	1	2	1	1	1	1	1	1	0	2	0
32	M	65	O	Xhosa	30	Community	No	2	2	2	0	1	2	2	2	1	0	1	2	2	0	1	1
33	F	55	O	Xhosa	30	Community	No	1	1	2	0	1	1	2	1	1	1	1	1	1	0	0	0
34	F	45	H	Xhosa	30	Community	No	1	1	2	1	1	1	2	1	1	1	1	1	2	0	0	0
35	M	45	J	Xhosa	30	Community	No	2	2	2	0	1	0	2	2	1	0	1	2	2	0	1	1
36	M	35	O	Xhosa	30	Other	Community_leader	2	2	2	1	2	0	2	2	1	0	1	2	2	0	1	1
37	M	25	J	Xhosa	0.5	Community	No	2	2	2	1	2	0	2	2	1	0	1	2	2	0	1	1
38	F	25	O	Xhosa	20	Other	Employed	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	0
39	F	55	H	Xhosa	30	Community	No	1	2	2	1	1	1	2	1	1	2	2	1	2	1	1	0
40	F	35	O	Xhosa	20	Community	No	1	2	2	1	1	0	2	1	1	2	2	1	2	1	1	0
41	F	25	H	Xhosa	0.5	Community	No	1	2	2	1	1	2	2	1	2	2	2	1	2	1	1	0
42	F	25	O	Xhosa	30	Community	No	1	2	2	1	1	2	2	1	2	2	2	1	2	1	1	0
43	F	45	T	Xhosa	30	Community	No	1	2	2	1	1	2	2	2	2	2	2	1	2	1	1	0
44	F	25	J	English	30	Other	Employed	1	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1
45	F	35	H	Xhosa	30	Community	No	1	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1
46	F	25	H	Xhosa	30	Community	No	1	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1
47	M	25	H	Xhosa	20	Community	No	2	2	2	0	2	0	2	2	1	0	2	0	2	0	1	2
48	M	25	H	Xhosa	0.5	Community	Employed	2	2	2	0	2	0	2	2	1	0	2	0	2	0	1	2
49	F	25	H	Xhosa	20	Community	No	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1
50	M	35	H	Xhosa	30	Community	No	2	2	2	0	2	0	2	2	1	0	2	0	2	0	2	2
